channel names:			
04/04/2014 02:36:11 PM - Voltage - Dev1_ai0	04/04/2014 02:36:11 PM - Voltage - Dev1_ai1	04/04/2014 02:36:11 PM - Voltage - Dev1_ai2	04/04/2014 02:36:11 PM - Voltage - Dev1_ai3
start times:			
12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000
dt:			
0.050000			
data:			
-8.128999E-1	-3.080364E-3	-3.714918E-1	-3.479273E+0
-8.116251E-1	7.115520E-4	-3.714918E-1	-3.480223E+0
-8.113064E-1	7.115520E-4	-3.705356E-1	-3.479590E+0
-8.116251E-1	-2.448378E-3	-3.718105E-1	-3.479273E+0
-8.113064E-1	7.956600E-5	-3.718105E-1	-3.479906E+0
-8.113064E-1	-2.448378E-3	-3.711730E-1	-3.479273E+0
-8.119438E-1	-8.684130E-4	-3.711730E-1	-3.479273E+0
-8.113064E-1	1.975524E-3	-3.698982E-1	-3.479273E+0
-8.116251E-1	-1.500399E-3	-3.724479E-1	-3.479273E+0
-8.119438E-1	-1.500399E-3	-3.695795E-1	-3.479590E+0
-8.116251E-1	-1.500399E-3	-3.721292E-1	-3.479906E+0
-8.113064E-1	7.956600E-5	-3.718105E-1	-3.479590E+0
-8.109877E-1	-2.364270E-4	-3.714918E-1	-3.479590E+0
-8.119438E-1	-1.816392E-3	-3.711730E-1	-3.479273E+0
-8.113064E-1	-1.500399E-3	-3.714918E-1	-3.479273E+0
-8.122625E-1	-1.184406E-3	-3.721292E-1	-3.478957E+0
-8.116251E-1	1.027545E-3	-3.695795E-1	-3.479273E+0
-8.116251E-1	3.955590E-4	-3.724479E-1	-3.479590E+0
-8.119438E-1	-2.764371E-3	-3.714918E-1	-3.480539E+0
-8.119438E-1	-1.500399E-3	-3.718105E-1	-3.480539E+0
-8.116251E-1	3.955590E-4	-3.708543E-1	-3.479906E+0
-8.113064E-1	7.956600E-5	-3.708543E-1	-3.479906E+0
-8.119438E-1	-2.364270E-4	-3.711730E-1	-3.478957E+0
-8.113064E-1	-2.448378E-3	-3.702169E-1	-3.479590E+0
-8.113064E-1	7.956600E-5	-3.702169E-1	-3.479906E+0
-8.116251E-1	-8.684130E-4	-3.721292E-1	-3.478640E+0
-8.116251E-1	3.955590E-4	-3.714918E-1	-3.479590E+0
-8.116251E-1	-5.524200E-4	-3.708543E-1	-3.479590E+0
-8.113064E-1	-2.764371E-3	-3.724479E-1	-3.479273E+0
-8.109877E-1	1.343538E-3	-3.705356E-1	-3.479590E+0
-8.116251E-1	7.115520E-4	-3.718105E-1	-3.478640E+0
-8.116251E-1	-8.684130E-4	-3.711730E-1	-3.479590E+0
-8.109877E-1	-8.684130E-4	-3.724479E-1	-3.479273E+0
-8.113064E-1	-2.132385E-3	-3.711730E-1	-3.478324E+0
-8.109877E-1	-2.364270E-4	-3.714918E-1	-3.479273E+0
-8.116251E-1	7.115520E-4	-3.718105E-1	-3.479273E+0
-8.106690E-1	-5.524200E-4	-3.724479E-1	-3.479590E+0
-8.113064E-1	-2.448378E-3	-3.705356E-1	-3.479590E+0
-8.113064E-1	-1.500399E-3	-3.708543E-1	-3.479906E+0
-8.116251E-1	1.027545E-3	-3.705356E-1	-3.479590E+0
-8.109877E-1	1.027545E-3	-3.721292E-1	-3.479906E+0
-8.119438E-1	-3.396357E-3	-3.711730E-1	-3.479590E+0
-8.116251E-1	-1.500399E-3	-3.714918E-1	-3.479273E+0
-8.116251E-1	-1.500399E-3	-3.718105E-1	-3.479590E+0
-8.113064E-1	-5.524200E-4	-3.714918E-1	-3.479273E+0
-8.119438E-1	-2.364270E-4	-3.714918E-1	-3.478957E+0
-8.113064E-1	-1.184406E-3	-3.702169E-1	-3.479906E+0
-8.119438E-1	-8.684130E-4	-3.705356E-1	-3.478640E+0
-8.109877E-1	-5.524200E-4	-3.714918E-1	-3.480539E+0
-8.119438E-1	1.343538E-3	-3.718105E-1	-3.478957E+0
-8.116251E-1	-8.684130E-4	-3.718105E-1	-3.479273E+0
-8.109877E-1	-2.364270E-4	-3.708543E-1	-3.478640E+0
-8.109877E-1	7.956600E-5	-3.708543E-1	-3.479273E+0
-8.116251E-1	-1.184406E-3	-3.705356E-1	-3.478640E+0
-8.119438E-1	3.955590E-4	-3.711730E-1	-3.479906E+0
-8.109877E-1	-1.184406E-3	-3.705356E-1	-3.479590E+0
-8.119438E-1	-1.816392E-3	-3.705356E-1	-3.479906E+0
-8.103503E-1	7.956600E-5	-3.705356E-1	-3.478640E+0
-8.113064E-1	7.115520E-4	-3.727666E-1	-3.478957E+0
-8.113064E-1	-8.684130E-4	-3.721292E-1	-3.479590E+0
-8.119438E-1	-2.132385E-3	-3.705356E-1	-3.479273E+0
-8.119438E-1	-2.448378E-3	-3.705356E-1	-3.479273E+0
-8.109877E-1	3.955590E-4	-3.718105E-1	-3.479590E+0
-8.116251E-1	7.956600E-5	-3.711730E-1	-3.478957E+0
-8.106690E-1	1.027545E-3	-3.718105E-1	-3.479590E+0
-8.119438E-1	-2.764371E-3	-3.724479E-1	-3.479590E+0
-8.116251E-1	-2.132385E-3	-3.714918E-1	-3.478640E+0
-8.119438E-1	7.115520E-4	-3.714918E-1	-3.479590E+0
-8.122625E-1	-1.184406E-3	-3.705356E-1	-3.479273E+0
-8.113064E-1	-8.684130E-4	-3.724479E-1	-3.479590E+0
-8.125812E-1	-1.816392E-3	-3.711730E-1	-3.479273E+0
-8.116251E-1	-2.132385E-3	-3.714918E-1	-3.478640E+0
-8.113064E-1	3.955590E-4	-3.721292E-1	-3.478957E+0
-8.119438E-1	7.115520E-4	-3.718105E-1	-3.478957E+0
-8.113064E-1	-8.684130E-4	-3.702169E-1	-3.479273E+0
-8.113064E-1	-2.132385E-3	-3.718105E-1	-3.478640E+0
-8.116251E-1	-5.524200E-4	-3.711730E-1	-3.478957E+0
-8.122625E-1	7.115520E-4	-3.734040E-1	-3.478957E+0
-8.116251E-1	-1.184406E-3	-3.727666E-1	-3.478957E+0
-8.113064E-1	-2.448378E-3	-3.705356E-1	-3.479273E+0
-8.122625E-1	-2.132385E-3	-3.708543E-1	-3.479273E+0
-8.119438E-1	-1.500399E-3	-3.714918E-1	-3.478640E+0
-8.116251E-1	1.027545E-3	-3.705356E-1	-3.479590E+0
-8.113064E-1	-1.184406E-3	-3.711730E-1	-3.478957E+0
-8.109877E-1	-1.184406E-3	-3.721292E-1	-3.479273E+0
-8.119438E-1	-1.184406E-3	-3.708543E-1	-3.478957E+0
-8.109877E-1	7.115520E-4	-3.708543E-1	-3.479590E+0
-8.116251E-1	1.027545E-3	-3.711730E-1	-3.479590E+0
-8.122625E-1	-2.764371E-3	-3.702169E-1	-3.479273E+0
-8.109877E-1	-1.500399E-3	-3.724479E-1	-3.479906E+0
-8.113064E-1	-8.684130E-4	-3.711730E-1	-3.479590E+0
